store_id,brand,store_name,address,city,state,zip,role
HT_01,Harris Teeter,Harris Teeter,3333 Pineville Matthews Rd,Charlotte,NC,28226,validation
HT_02,Harris Teeter,Harris Teeter,15007 John J Delaney Dr,Charlotte,NC,28277,validation
HT_03,Harris Teeter,Harris Teeter,4821 Berewick Town Center Dr,Charlotte,NC,28278,validation
HT_04,Harris Teeter,Harris Teeter,9720 Rea Rd,Charlotte,NC,28277,validation
HT_05,Harris Teeter,Harris Teeter,9641 Brookdale Dr,Charlotte,NC,28215,validation
HT_06,Harris Teeter,Harris Teeter,1704 Central Ave,Charlotte,NC,28205,validation
HT_07,Harris Teeter,Harris Teeter,2720 W Mallard Creek Church Rd,Charlotte,NC,28262,validation
HT_08,Harris Teeter,Harris Teeter,7823 Colony Rd,Charlotte,NC,28226,validation
HT_09,Harris Teeter,Harris Teeter,112 S Sharon Amity Rd,Charlotte,NC,28211,validation
HT_10,Harris Teeter,Harris Teeter,325 W 6th St,Charlotte,NC,28202,validation
HT_11,Harris Teeter,Harris Teeter,5810 Highland Shoppes Dr,Charlotte,NC,28269,validation
HT_12,Harris Teeter,Harris Teeter,1227 East Blvd,Charlotte,NC,28203,validation
HT_13,Harris Teeter,Harris Teeter,5706 Wyalong Dr,Charlotte,NC,28227,validation
HT_14,Harris Teeter,Harris Teeter,6701 Carnegie Blvd,Charlotte,NC,28211,validation
HT_15,Harris Teeter,Harris Teeter,1015 Providence Rd,Charlotte,NC,28207,validation
HT_16,Harris Teeter,Harris Teeter,4100 Carmel Rd,Charlotte,NC,28226,validation
HT_17,Harris Teeter,Harris Teeter,4101 Park Rd,Charlotte,NC,28209,validation
HT_18,Harris Teeter,Harris Teeter,5030 Park Rd,Charlotte,NC,28209,validation
HT_19,Harris Teeter,Harris Teeter,10616 Providence Rd,Charlotte,NC,28277,validation
HT_20,Harris Teeter,Harris Teeter,8538 Park Rd,Charlotte,NC,28210,validation
HT_21,Harris Teeter,Harris Teeter,11135 Golf Links Dr,Charlotte,NC,28277,validation
HT_22,Harris Teeter,Harris Teeter,4701 Smith Farm Rd,Charlotte,NC,28216,validation
HT_23,Harris Teeter,Harris Teeter,1621 Sardis Rd N,Charlotte,NC,28270,validation
HT_24,Harris Teeter,Harris Teeter,2717 South Blvd,Charlotte,NC,28209,validation
HT_25,Harris Teeter,Harris Teeter,16625 Lancaster Hwy,Charlotte,NC,28277,validation
HT_26,Harris Teeter,Harris Teeter,13000 S Tryon St,Charlotte,NC,28278,validation
HT_27,Harris Teeter,Harris Teeter,7852 Rea Rd,Charlotte,NC,28277,validation
HT_28,Harris Teeter,Harris Teeter,8445 Davis Lake Pkwy,Charlotte,NC,28269,validation
HT_29,Harris Teeter,Harris Teeter,8600 University City Blvd,Charlotte,NC,28213,validation
FL_01,Food Lion,Food Lion,10120 Johnston Rd,Charlotte,NC,,competitor
FL_02,Food Lion,Food Lion,1620 Ashley Rd,Charlotte,NC,,competitor
FL_03,Food Lion,Food Lion,704 Harris Houston Rd,Charlotte,NC,,competitor
FL_04,Food Lion,Food Lion,2123 Beatties Ford Rd,Charlotte,NC,,competitor
FL_05,Food Lion,Food Lion,2201 West W.T. Harris Blvd,Charlotte,NC,,competitor
FL_06,Food Lion,Food Lion,2226 Park Rd,Charlotte,NC,,competitor
FL_07,Food Lion,Food Lion,237 Mt Holly-Huntersville Rd,Charlotte,NC,,competitor
FL_08,Food Lion,Food Lion,2526 Little Rock Rd,Charlotte,NC,,competitor
FL_09,Food Lion,Food Lion,2931 E W.T. Harris Blvd,Charlotte,NC,,competitor
FL_10,Food Lion,Food Lion,3009 The Plaza,Charlotte,NC,,competitor
FL_11,Food Lion,Food Lion,3207 Eastway Dr,Charlotte,NC,,competitor
FL_12,Food Lion,Food Lion,4001 Sunset Rd W,Charlotte,NC,,competitor
FL_13,Food Lion,Food Lion,4709 Tuckaseegee Rd,Charlotte,NC,,competitor
FL_14,Food Lion,Food Lion,5624 N Graham St,Charlotte,NC,,competitor
FL_15,Food Lion,Food Lion,5831 South Blvd,Charlotte,NC,,competitor
FL_16,Food Lion,Food Lion,6430 W Sugar Creek Rd,Charlotte,NC,,competitor
FL_17,Food Lion,Food Lion,7004 E W.T. Harris Blvd,Charlotte,NC,,competitor
FL_18,Food Lion,Food Lion,7400 Candlewyck Ln,Charlotte,NC,,competitor
FL_19,Food Lion,Food Lion,7400 The Plaza,Charlotte,NC,,competitor
