store_id,brand,store_name,address,city,state,zip,role,latitude,longitude,geocode_display_name
HT_01,Harris Teeter,Harris Teeter,3333 Pineville Matthews Rd,Charlotte,NC,28226,validation,35.0963538,-80.7845157,"Harris Teeter, 3333, Pineville-Matthews Road, Charlotte, Mecklenburg County, North Carolina, 28226, United States"
HT_02,Harris Teeter,Harris Teeter,15007 John J Delaney Dr,Charlotte,NC,28277,validation,35.0530618,-80.8490417,"Harris Teeter, 15007, John J Delaney Drive, Ballantyne Commons East, Ballantyne, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
HT_03,Harris Teeter,Harris Teeter,4821 Berewick Town Center Dr,Charlotte,NC,28278,validation,35.1605052,-80.9730535,"Harris Teeter, 4821, Berewick Town Center Drive, Berewick Town Center, Charlotte, Mecklenburg County, North Carolina, 28278, United States"
HT_04,Harris Teeter,Harris Teeter,9720 Rea Rd,Charlotte,NC,28277,validation,35.0363385,-80.8067753,"Harris Teeter, 9720, Rea Road, Blakeney, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
HT_05,Harris Teeter,Harris Teeter,9641 Brookdale Dr,Charlotte,NC,28215,validation,35.2828491,-80.6694317,"Harris Teeter, 9641, Brookdale Drive, Brookdale, Charlotte, Cabarrus County, North Carolina, 28215, United States"
HT_06,Harris Teeter,Harris Teeter,1704 Central Ave,Charlotte,NC,28205,validation,35.2196701,-80.8103713,"Harris Teeter, 1704, Central Avenue, Plaza Midwood, Charlotte, Mecklenburg County, North Carolina, 28205, United States"
HT_07,Harris Teeter,Harris Teeter,2720 W Mallard Creek Church Rd,Charlotte,NC,28262,validation,35.3415097,-80.7648953,"Harris Teeter, 2720, West Mallard Creek Church Road, Mallard, Charlotte, Mecklenburg County, North Carolina, 28262, United States"
HT_08,Harris Teeter,Harris Teeter,7823 Colony Rd,Charlotte,NC,28226,validation,35.1064397,-80.8065890,"Harris Teeter, 7823, Colony Road, Charlotte, Mecklenburg County, North Carolina, 28226, United States"
HT_09,Harris Teeter,Harris Teeter,112 S Sharon Amity Rd,Charlotte,NC,28211,validation,35.1772917,-80.8008962,"Harris Teeter, 112, South Sharon Amity Road, Cotswold, Charlotte, Mecklenburg County, North Carolina, 28211, United States"
HT_10,Harris Teeter,Harris Teeter,325 W 6th St,Charlotte,NC,28202,validation,35.2311074,-80.8438879,"Harris Teeter, 325, West 6th Street, Fourth Ward, Uptown, Charlotte, Mecklenburg County, North Carolina, 28202, United States"
HT_11,Harris Teeter,Harris Teeter,5810 Highland Shoppes Dr,Charlotte,NC,28269,validation,35.3716618,-80.7828056,"Harris Teeter, 5810, Highland Shoppes Drive, The Maxwell at Highland, The Shoppes at Highland Creek, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
HT_12,Harris Teeter,Harris Teeter,1227 East Blvd,Charlotte,NC,28203,validation,35.2036741,-80.8447502,"Harris Teeter, 1227, East Boulevard, Dilworth Historic District, Charlotte, Mecklenburg County, North Carolina, 28203, United States"
HT_13,Harris Teeter,Harris Teeter,5706 Wyalong Dr,Charlotte,NC,28227,validation,35.1729474,-80.7090922,"Harris Teeter, 5706, Wyalong Drive, Charlotte, Mecklenburg County, North Carolina, 28227, United States"
HT_14,Harris Teeter,Harris Teeter,6701 Carnegie Blvd,Charlotte,NC,28211,validation,35.1527000,-80.8266840,"6701, Carnegie Boulevard, Morrocroft Village, SouthPark, Charlotte, Mecklenburg County, North Carolina, 28211, United States"
HT_15,Harris Teeter,Harris Teeter,1015 Providence Rd,Charlotte,NC,28207,validation,35.1960213,-80.8266147,"Harris Teeter, 1015, Providence Road, Myers Park, Charlotte, Mecklenburg County, North Carolina, 28207, United States"
HT_16,Harris Teeter,Harris Teeter,4100 Carmel Rd,Charlotte,NC,28226,validation,35.1171341,-80.8244448,"4100, Carmel Road, Charlotte, Mecklenburg County, North Carolina, 28226, United States"
HT_17,Harris Teeter,Harris Teeter,4101 Park Rd,Charlotte,NC,28209,validation,35.1756969,-80.8501258,"Harris Teeter, 4101, Park Road, Charlotte, Mecklenburg County, North Carolina, 28209, United States"
HT_18,Harris Teeter,Harris Teeter,5030 Park Rd,Charlotte,NC,28209,validation,35.1621857,-80.8492188,"5030, Park Road, Parkdale, Charlotte, Mecklenburg County, North Carolina, 28209, United States"
HT_19,Harris Teeter,Harris Teeter,10616 Providence Rd,Charlotte,NC,28277,validation,35.0631990,-80.7738179,"Starbucks, 10616, Providence Road, Providence, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
HT_20,Harris Teeter,Harris Teeter,8538 Park Rd,Charlotte,NC,28210,validation,35.1166744,-80.8581802,"Harris Teeter, 8538, Park Road, Charlotte, Mecklenburg County, North Carolina, 28210, United States"
HT_21,Harris Teeter,Harris Teeter,11135 Golf Links Dr,Charlotte,NC,28277,validation,35.0518162,-80.7725146,"Harris Teeter, 11135, Golf Links Drive, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
HT_22,Harris Teeter,Harris Teeter,4701 Smith Farm Rd,Charlotte,NC,28216,validation,35.3266600,-80.9409090,"4701, Smith Farm Road, Mountain Island Village, Shuffletown, Charlotte, Mecklenburg County, North Carolina, 28216, United States"
HT_23,Harris Teeter,Harris Teeter,1621 Sardis Rd N,Charlotte,NC,28270,validation,35.1407002,-80.7387116,"Harris Teeter, 1621, Sardis Road North, Forest Homes, Charlotte, Mecklenburg County, North Carolina, 28270, United States"
HT_24,Harris Teeter,Harris Teeter,2717 South Blvd,Charlotte,NC,28209,validation,35.2006718,-80.8656497,"Harris Teeter, 2717, South Boulevard, Sedgefield, Charlotte, Mecklenburg County, North Carolina, 28209, United States"
HT_25,Harris Teeter,Harris Teeter,16625 Lancaster Hwy,Charlotte,NC,28277,validation,35.0242423,-80.8481158,"Harris Teeter, 16625, Lancaster Highway, Shoppes at Ardrey Kell, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
HT_26,Harris Teeter,Harris Teeter,13000 S Tryon St,Charlotte,NC,28278,validation,35.1022686,-80.9900134,"13000, South Tryon Street, Charlotte, Mecklenburg County, North Carolina, 28278, United States"
HT_27,Harris Teeter,Harris Teeter,7852 Rea Rd,Charlotte,NC,28277,validation,35.0599658,-80.8167237,"Harris Teeter, 7852, Rea Road, Stonecrest, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
HT_28,Harris Teeter,Harris Teeter,8445 Davis Lake Pkwy,Charlotte,NC,28269,validation,35.3341087,-80.8145127,"Harris Teeter, 8445, Davis Lake Parkway, Croft, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
HT_29,Harris Teeter,Harris Teeter,8600 University City Blvd,Charlotte,NC,28213,validation,35.2962498,-80.7383763,"Harris Teeter, 8600, University City Boulevard, University City, Charlotte, Mecklenburg County, North Carolina, 28213, United States"
FL_01,Food Lion,Food Lion,10120 Johnston Rd,Charlotte,NC,28210,competitor,35.0936076,-80.8580580,"10120, Johnston Road, Falcon Bridge, Charlotte, Mecklenburg County, North Carolina, 28210, United States"
FL_02,Food Lion,Food Lion,1620 Ashley Rd,Charlotte,NC,28208,competitor,35.2403141,-80.8972398,"1620, Ashley Road, Westerly Hill, Ashley Park, Charlotte, Mecklenburg County, North Carolina, 28208, United States"
